key	name	hemi	roi	color	origin_name	rs_network
240	p32pr_l	l	p32pr	164 147 123	L_p32pr_ROI	4
241	a24_l	l	a24	68 15 26	L_a24_ROI	7
242	d32_l	l	d32	91 42 51	L_d32_ROI	7
243	8BM_l	l	8BM	107 87 83	L_8BM_ROI	7
244	p32_l	l	p32	96 34 53	L_p32_ROI	7
245	10r_l	l	10r	25 15 2	L_10r_ROI	7
246	47m_l	l	47m	100 79 70	L_47m_ROI	7
247	8Av_l	l	8Av	57 59 48	L_8Av_ROI	7
248	8Ad_l	l	8Ad	65 70 51	L_8Ad_ROI	7
249	9m_l	l	9m	47 40 23	L_9m_ROI	7
250	8BL_l	l	8BL	31 40 19	L_8BL_ROI	7
251	9p_l	l	9p	38 45 28	L_9p_ROI	7
252	10d_l	l	10d	38 38 26	L_10d_ROI	7
253	8C_l	l	8C	100 87 85	L_8C_ROI	7
254	44_l	l	44	84 89 61	L_44_ROI	7
255	45_l	l	45	59 68 45	L_45_ROI	7
256	47l_l	l	47l	49 52 32	L_47l_ROI	7
257	a47r_l	l	a47r	77 77 66	L_a47r_ROI	7
258	6r_l	l	6r	177 214 152	L_6r_ROI	3
259	IFJa_l	l	IFJa	130 125 99	L_IFJa_ROI	3
260	IFJp_l	l	IFJp	133 157 130	L_IFJp_ROI	3
261	IFSp_l	l	IFSp	99 100 90	L_IFSp_ROI	6
262	IFSa_l	l	IFSa	187 200 179	L_IFSa_ROI	6
263	p9-46v_l	l	p9-46v	136 146 132	L_p9-46v_ROI	6
264	46_l	l	46	207 216 201	L_46_ROI	4
265	a9-46v_l	l	a9-46v	144 112 127	L_a9-46v_ROI	6
266	9-46d_l	l	9-46d	139 116 130	L_9-46d_ROI	4
267	9a_l	l	9a	54 55 46	L_9a_ROI	7
268	10v_l	l	10v	12 37 16	L_10v_ROI	7
269	a10p_l	l	a10p	101 77 91	L_a10p_ROI	7
270	10pp_l	l	10pp	60 67 63	L_10pp_ROI	7
271	11l_l	l	11l	134 110 122	L_11l_ROI	7
272	13l_l	l	13l	86 64 73	L_13l_ROI	5
273	OFC_l	l	OFC	41 39 33	L_OFC_ROI	5
274	47s_l	l	47s	65 39 34	L_47s_ROI	7
275	LIPd_l	l	LIPd	152 176 201	L_LIPd_ROI	6
276	6a_l	l	6a	121 192 136	L_6a_ROI	3
277	i6-8_l	l	i6-8	92 100 85	L_i6-8_ROI	7
278	s6-8_l	l	s6-8	92 98 78	L_s6-8_ROI	7
279	43_l	l	43	148 142 67	L_43_ROI	2
280	OP4_l	l	OP4	110 159 46	L_OP4_ROI	2
281	OP1_l	l	OP1	99 160 38	L_OP1_ROI	2
282	OP2-3_l	l	OP2-3	151 127 58	L_OP2-3_ROI	2
283	52_l	l	52	211 73 64	L_52_ROI	2
284	RI_l	l	RI	180 66 27	L_RI_ROI	2
285	PFcm_l	l	PFcm	192 145 91	L_PFcm_ROI	2
286	PoI2_l	l	PoI2	130 127 85	L_PoI2_ROI	4
287	TA2_l	l	TA2	133 47 29	L_TA2_ROI	4
288	FOP4_l	l	FOP4	184 150 131	L_FOP4_ROI	4
289	MI_l	l	MI	158 117 108	L_MI_ROI	4
290	Pir_l	l	Pir	87 65 64	L_Pir_ROI	0
291	AVI_l	l	AVI	139 72 82	L_AVI_ROI	7
292	AAIC_l	l	AAIC	84 33 40	L_AAIC_ROI	7
293	FOP1_l	l	FOP1	156 155 89	L_FOP1_ROI	2
294	FOP3_l	l	FOP3	177 137 101	L_FOP3_ROI	4
